Registro;Nombre;Fecha Registro;Empresa;Principio Activo;Control Legal
F-10847/21;AGUA PARA INYECTABLES;24/01/1995;LABORATORIO SANDERSON S.A.;AGUA INYECTABLE;
F-10067/21;AGUA PARA INYECTABLES;26/03/1997;BPH S.A.;AGUA INYECTABLE;
N-407/20;AJENJO EXTRACTO FLUIDO SOLUCIÓN PARA GOTAS ORALES;12/07/1988;KNOP LABORATORIOS S.A.;;
F-6364/20;ALCOHOL ALCANFORADO AL 10%;12/04/1982;LABORATORIO VALMA SPA;ALCANFOR//ALCOHOL ETILICO;
F-7589/21;ALCOHOL ALCANFORADO SOLUCIÓN TÓPICA 10%;19/04/2001;DIFEM LABORATORIOS S.A.;ALCANFOR;
F-26063/21;ALCOHOL DESNATURALIZADO SOLUCIÓN TÓPICA 70% v/v;4/04/2021;DIFEM LABORATORIOS S.A.;ALCOHOL ETILICO;
F-26064/21;ALCOHOL DESNATURALIZADO SOLUCIÓN TÓPICA 95% v/v;4/04/2021;DIFEM LABORATORIOS S.A.;ALCOHOL ETILICO;
F-18268/20;ALCOHOL GEL 70%;28/09/2010;DIVERSEY INDUSTRIAL Y COMERCIAL CHILE LTDA.;ALCOHOL ETILICO;
F-13154/18;ALCOHOL GEL 70%;2/10/2003;LABORATORIO PASTEUR S.A.;ALCOHOL ETILICO;
F-12194/22;ALCOHOL GEL ANTISÉPTICO 75%;28/06/2002;ECOLAB S.A.;ALCOHOL ETILICO;
F-15943/22;ALCOHOL GEL TÓPICO 70%;16/02/2007;DIFEM LABORATORIOS S.A.;ALCOHOL ETILICO;
F-11671/21;ALCOHOL YODADO 1% SOLUCIÓN PARA USO EXTERNO;15/04/1994;LABORATORIO VALMA SPA;ALCOHOL ETILICO//IODO//POTASIO IODURO;
F-10769/21;ALCOLEX SOLUCIÓN TÓPICA 0,1%;3/10/1995;ALPES CHEMIE S.A.;ALCOHOL ETILICO//BENZOXONIO CLORURO;
H-894/20;ALFALFA T.M. COMPRIMIDOS;19/10/1987;KNOP LABORATORIOS S.A.;"Alfalfa T.M.;Oleum Jecor D3";
H-579/20;ALFALFA TINTURA MADRE SOLUCIÓN ORAL PARA GOTAS;9/08/1988;KNOP LABORATORIOS S.A.;;
H-804/20;ALGAS COMPUESTAS COMPRIMIDOS;22/04/1986;KNOP LABORATORIOS S.A.;;
H-594/20;ALGAS CON OLIVOS COMPUESTO SOLUCIÓN ORAL PARA GOTAS;28/02/1989;KNOP LABORATORIOS S.A.;;
H-805/20;ALGAS MARINAS CON OLIVOS COMPRIMIDOS;21/04/1986;KNOP LABORATORIOS S.A.;;
F-6449/20;ALGIAFIN JARABE 120 mg/5 mL;31/01/1984;INTERPHARMA S.A.;PARACETAMOL;
F-6450/20;ALGIAFIN SOLUCIÓN PARA GOTAS ORALES 100 mg/mL;31/01/1984;INTERPHARMA S.A.;PARACETAMOL;
F-17721/19;ALGIASOL FORTE SUSPENSIÓN ORAL 200 mg/5 mL;2/09/2009;INTERPHARMA S.A.;IBUPROFENO;
F-26201/21;ALIVIDOL COMPRIMIDOS 1000 mg;8/06/2021;OPKO CHILE S.A.;PARACETAMOL;
F-24017/18;ALIVIDOL COMPRIMIDOS 500 mg;9/08/2018;OPKO CHILE S.A.;PARACETAMOL;
F-26557/21;ALIVIDOL COMPRIMIDOS 500 mg (PARACETAMOL);30/12/2021;OPKO CHILE S.A.;PARACETAMOL;
F-26586/22;ALIX SPRAY SOLUCIÓN PARA PULVERIZACIÓN BUCAL 8,75 mg (FLURBIPROFENO);22/01/2022;ITF - LABOMED FARMACÉUTICA LTDA.;FLURBIPROFENO;
H-998/21;ALLIUM CEPA T.M., SOLUCIÓN PARA GOTAS ORALES;24/02/1992;KNOP LABORATORIOS S.A.;;
H-999/21;ALLIUM SATIVA TINTURA MADRE;20/11/1992;KNOP LABORATORIOS S.A.;;
N-570/20;ALOE FEROX CÁPSULAS 150 mg;11/11/2015;MEGALABS CHILE S.A.;;
N-565/20;ALOE FEROX CÁPSULAS 150 mg;19/08/2015;LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.;;
N-617/20;ALOE FEROX CÁPSULAS 150 mg;14/10/2020;KNOP LABORATORIOS S.A.;POLVO DE EXUDADO DE HOJAS DE ALOE FEROX MILL.;
N-102/21;ALOELAX CÁPSULAS;28/12/1996;KNOP LABORATORIOS S.A.;;
F-1311/18;ALUMINIO HIDRÓXIDO SUSPENSIÓN ORAL 6%;15/11/1969;LABORATORIO CHILE S.A.;ALUMINIO HIDROXIDO;
F-11036/21;AMBROTOS JARABE 15 mg/5 mL;4/10/1990;LABORATORIOS LAFI LTDA.;AMBROXOL;
F-6510/20;AMBROXOL CLORHIDRATO ADULTO JARABE 30 mg/5 mL;10/04/1989;LABORATORIOS ANDRÓMACO S.A.;AMBROXOL;
F-6509/20;AMBROXOL CLORHIDRATO INFANTIL JARABE 15 mg/5 mL;10/04/1989;LABORATORIOS ANDRÓMACO S.A.;AMBROXOL;
F-11135/21;AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL;8/03/1990;RECBEN XENERICS FARMACÉUTICA LTDA.;AMBROXOL;
F-15177/20;AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL;25/10/2005;MINTLAB Co. S.A.;AMBROXOL;
F-16719/18;AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL;5/03/2008;OPKO CHILE S.A.;AMBROXOL;
F-25602/20;AMBROXOL CLORHIDRATO JARABE 15mg / 5mL;31/07/2020;ETHON PHARMACEUTICALS S.p.A.;AMBROXOL;
F-24892/19;AMBROXOL CLORHIDRATO JARABE 15mg/5mL;20/06/2019;LABORATORIO HOSPIFARMA CHILE LTDA.;AMBROXOL;
F-16720/18;AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL;5/03/2008;OPKO CHILE S.A.;AMBROXOL;
F-15178/20;AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL;25/10/2005;MINTLAB Co. S.A.;AMBROXOL;
F-24895/19;AMBROXOL CLORHIDRATO JARABE 30mg/5mL;20/06/2019;LABORATORIO HOSPIFARMA CHILE LTDA.;AMBROXOL;
F-11136/21;AMBROXOL CLORHIDRATO JARABE FORTE 30 mg/5 mL;4/10/1990;RECBEN XENERICS FARMACÉUTICA LTDA.;AMBROXOL;
H-1213/19;ANACARDIO CON FÓSFORO SOLUCIÓN PARA GOTAS ORALES;3/04/2014;LAURA XIMENA POLANCO GONZÁLEZ;;
H-1147/19;ANACARDIUM COMPUESTO SOLUCIÓN ORAL PARA GOTAS;4/08/2009;LABORATORIOS BIOSPHARE S.A.;;
F-2461/19;ANALGÉSICO DENTAL SOLUCIÓN TÓPICA 85%;14/11/1979;DROGUERIA HOFMANN LIMITADA Y COMPAÑIA EN COMANDITA POR ACCIONES;EUGENOL;
B-2429/19;ANFLU PEDIATRICA SUSPENSIÓN INYECTABLE;20/10/2014;SINOVAC BIOTECH (CHILE) S.p.A.;;
B-2430/19;ANFLU SUSPENSIÓN INYECTABLE (VACUNA INFLUENZA INACTIVADA);20/10/2014;SINOVAC BIOTECH (CHILE) S.p.A.;;
H-728/20;ANGIN - HEEL SD COMPRIMIDOS SUBLINGUALES;29/08/2000;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;;
F-5447/20;ANTIAX COMPRIMIDOS MASTICABLES;1/09/1981;LABORATORIOS SAVAL S.A.;MAGALDRATO//SIMETICONA;
F-9778/21;ANTIAX FORTE SUSPENSIÓN;1/03/1990;LABORATORIOS SAVAL S.A.;MAGALDRATO//SIMETICONA;
F-5449/20;ANTIAX SUSPENSIÓN ORAL;2/09/1981;LABORATORIOS SAVAL S.A.;MAGALDRATO//SIMETICONA;
H-778/20;ANTIMONIUM CRUDO D6 COMPRIMIDOS;22/04/1987;KNOP LABORATORIOS S.A.;;
F-21284/19;ANTISEP 3M, SOLUCIÓN TÓPICA AL 2%;8/08/2014;DIFEM LABORATORIOS S.A.;CLORHEXIDINA;
H-797/20;APIS D6 COMPRIMIDOS;17/11/1986;KNOP LABORATORIOS S.A.;Apis D6;
H-1159/19;APIS D6 GLÓBULOS;21/09/2009;LABORATORIOS BIOSPHARE S.A.;;
B-2648/21;AQUAREST CÁPSULAS 250 mg (SACCHAROMYCES BOULARDII);27/09/2016;LABORATORIO HOSPIFARMA CHILE LTDA.;;
B-2653/21;AQUAREST LIOFILIZADO PARA SUSPENSION ORAL EN SOBRES 250 mg;4/10/2016;LABORATORIO HOSPIFARMA CHILE LTDA.;;
H-592/20;ARENARIA COMPUESTA SOLUCIÓN ORAL PARA GOTAS;15/02/1989;KNOP LABORATORIOS S.A.;;
H-1211/18;ÁRNICA COMPUESTA SOLUCIÓN PARA GOTAS ORALES;14/12/2013;LAURA XIMENA POLANCO GONZÁLEZ;;
H-802/20;ÁRNICA D6 COMPRIMIDOS;17/11/1986;KNOP LABORATORIOS S.A.;Arnica D6;
H-1160/19;ÁRNICA D6 GLÓBULOS;21/09/2009;LABORATORIOS BIOSPHARE S.A.;;
H-593/20;ÁRNICA HAMAMELIS COMPUESTO SOLUCIÓN ORAL PARA GOTAS;22/02/1989;KNOP LABORATORIOS S.A.;;
H-746/20;ÁRNICA TINTURA MADRE SOLUCIÓN ORAL PARA GOTAS;17/03/1988;KNOP LABORATORIOS S.A.;;
H-762/20;ÁRNICA UNGÜENTO TÓPICO 10%;6/10/1986;KNOP LABORATORIOS S.A.;;
H-968/21;ARNIKADERM GEL 10%;25/03/1994;KNOP LABORATORIOS S.A.;;
H-769/20;ARSENICUM ALBUM D6 COMPRIMIDOS;18/07/1988;KNOP LABORATORIOS S.A.;;
F-20018/18;ARTICO POLVO PARA SOLUCIÓN ORAL;12/06/2013;EUROFARMA CHILE S.A.;CONDROITINA//GLUCOSAMINA;
F-20935/19;ARTRISIMI COMPRIMIDOS;17/02/2014;LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.;CONDROITINA//GLUCOSAMINA;
F-21349/19;ARTRISIMI POLVO PARA SOLUCIÓN ORAL (GLUCOSAMINA SULFATO CLORURO DE SODIO / CONDROITINA SULFA TO);25/08/2014;LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.;CONDROITINA//GLUCOSAMINA;
H-863/20;ARTROPLEX COMPRIMIDOS;22/03/1989;KNOP LABORATORIOS S.A.;;
F-24183/18;ARTROSOL 500/400 COMPRIMIDOS RECUBIERTOS;16/10/2018;DROGUERÍA ARAMA NATURAL PRODUCTS DISTRIBUIDORA LTDA.;CONDROITINA//GLUCOSAMINA;
F-1481/18;ASPIRINA COMPRIMIDOS 500 mg;4/03/1954;BAYER S.A.;ACIDO ACETILSALICILICO;
F-13533/19;ASPIRINA FORTE COMPRIMIDOS 650 mg;9/03/2004;BAYER S.A.;ACIDO ACETILSALICILICO;
F-16703/18;ATAC POLVO PARA SUSPENSIÓN ORAL 125 mg/5 mL, CON SOLVENTE;4/03/2008;LABORATORIOS RECALCINE S.A.;NAPROXENO;
H-606/20;AURUM COMPUESTO SOLUCIÓN ORAL PARA GOTAS;22/03/1989;KNOP LABORATORIOS S.A.;;
H-1235/22;AVENA SATIVA COMPUESTA II SOLUCIÓN PARA GOTAS ORALES;17/10/2017;KNOP LABORATORIOS S.A.;;
H-584/20;AVENA SATIVA COMPUESTO SOLUCIÓN ORAL PARA GOTAS;7/10/1988;KNOP LABORATORIOS S.A.;;
H-1161/19;AVENA SATIVA D6 GLÓBULOS;21/09/2009;LABORATORIOS BIOSPHARE S.A.;;
N-173/21;AVENA SATIVA EXTRACTO FLUIDO, SOLUCIÓN PARA GOTAS ORALES;23/11/1990;KNOP LABORATORIOS S.A.;;
H-574/20;AVENA SATIVA TINTURA MADRE SOLUCIÓN ORAL PARA GOTAS;19/07/1988;KNOP LABORATORIOS S.A.;;
H-806/20;AVENA SATIVA TM COMPRIMIDOS;27/03/1989;KNOP LABORATORIOS S.A.;;
F-10229/21;AYREMENTOL LOCIÓN TÓPICA;5/03/1993;LABORATORIOS SMB FARMA S.A.;ALCANFOR//MENTOL;
F-2643/19;AZUL DE METILENO AL 2%;1/02/1978;LABORATORIO VALMA SPA;AZUL DE METILENO;
N-408/20;BAILAHUEN EXTRACTO FLUIDO SOLUCIÓN PARA GOTAS ORALES;12/07/1988;KNOP LABORATORIOS S.A.;;
F-1196/18;BÁLSAMO ANALGÉSICO PASTEUR UNGÜENTO TÓPICO;16/04/1966;LABORATORIO PASTEUR S.A.;MENTOL//SALICILATO DE METILO;
F-6436/20;BEDIATIL COMPRIMIDOS 200 mg (IBUPROFENO);29/03/1989;LABORATORIO PASTEUR S.A.;IBUPROFENO;
F-1804/19;BEDIATIL FORTE SUSPENSIÓN ORAL 200 mg/5 mL;7/05/1999;LABORATORIO PASTEUR S.A.;IBUPROFENO;
F-11624/21;BEDIATIL SUSPENSIÓN ORAL 100 mg/5 mL;1/10/1994;LABORATORIO PASTEUR S.A.;IBUPROFENO;
K-63/19;BEKUNIS GRAGEAS;28/01/1980;PHARMASAN LTDA.;;
N-345/18;BEKUNIS TE LAXANTE BOLSITA FILTRO PARA INFUSIÓN ORAL 1,5 g;6/11/1998;PHARMASAN LTDA.;;
F-9859/21;BELDENT GEL BUCAL 7,5%;5/12/2001;LABORATORIO CHILE S.A.;BENZOCAINA;
H-603/20;BELLADONA COMPUESTA SOLUCIÓN ORAL PARA GOTAS;17/03/1989;KNOP LABORATORIOS S.A.;;
H-796/20;BELLADONA D6 COMPRIMIDOS;12/11/1986;KNOP LABORATORIOS S.A.;Belladona D6;
H-1162/19;BELLADONA D6 GLÓBULOS;21/09/2009;LABORATORIOS BIOSPHARE S.A.;;
F-8536/21;BENZAC AC GEL DE BASE ACUOSA 2,5 % (PERÓXIDO DE BENZOÍLO);1/04/1993;GALDERMA CHILE LABORATORIOS LTDA.;PEROXIDO DE BENZOILO;
H-1128/18;BERBERIS HEELACCORD SOLUCIÓN ORAL PARA GOTAS;17/03/2008;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;;
H-1291/21;BERBERIS HEELACCORD SOLUCIÓN PARA GOTAS ORALES;13/12/2021;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;"Berberis vulgaris D4;Berberis vulgaris D10;Berberis vulgaris D30;Berberis vulgaris D200;Citrullus colocynthis D4;Citrullus colocynthis D10;Citrullus colocynthis D30;Citrullus colocynthis D200;Veratrum album D4;Veratrum album D10;Veratrum album D30;Veratrum album D200";
H-585/20;BERBERIS-CANTHARIS COMPUESTO SOLUCIÓN ORAL PARA GOTAS;2/11/1988;KNOP LABORATORIOS S.A.;;
F-23878/18;BETA-COMPLEX COMPRIMIDOS RECUBIERTOS;19/06/2018;SOCIEDAD FARMACÉUTICA TERVIS PHARMA LTDA.;CIANOCOBALAMINA//PIRIDOXINA//TIAMINA;
N-510/18;BILAXIL GRANULADO;30/07/2013;BAYER S.A.;;
H-822/20;BILIFLUX COMPRIMIDOS;10/08/1988;KNOP LABORATORIOS S.A.;Taraxacum TM;
N-190/21;BIO-AX SOLUCIÓN PARA GOTAS ORALES;28/11/1990;KNOP LABORATORIOS S.A.;;
H-874/20;BIO-CEFAC SOLUCIÓN PARA GOTAS ORALES;28/07/1988;KNOP LABORATORIOS S.A.;;
N-187/21;BIO-COF SOLUCIÓN PARA GOTAS ORALES;18/01/1990;KNOP LABORATORIOS S.A.;;
N-177/21;BIO-DORM SOLUCIÓN PARA GOTAS ORALES;20/11/1992;KNOP LABORATORIOS S.A.;;
H-732/20;BIO-ENGYT SOLUCIÓN ORAL PARA GOTAS;16/12/1988;KNOP LABORATORIOS S.A.;;
N-179/21;BIO-FEM SOLUCIÓN PARA GOTAS ORALES;2/04/1990;KNOP LABORATORIOS S.A.;;
B-1941/21;BIO-FLORA CÁPSULAS 250 mg;22/03/2006;LABORATORIO MAVER S.A.;;
B-941/20;BIO-FLORA POLVO PARA SUSPENSIÓN ORAL 250 mg EN SOBRES;9/11/2000;LABORATORIO MAVER S.A.;;
N-183/21;BIO-GASTRIC SOLUCIÓN PARA GOTAS ORALES;10/05/1990;KNOP LABORATORIOS S.A.;;
H-1003/21;BIO-PASSI SOLUCIÓN PARA GOTAS ORALES;1/04/1993;KNOP LABORATORIOS S.A.;;
H-982/21;BIOACTIV KNOP A, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-983/21;BIOACTIV KNOP D, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-984/21;BIOACTIV KNOP E, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-985/21;BIOACTIV KNOP F, SOLUCIÓN PARA GOTAS ORALES.;21/03/1991;KNOP LABORATORIOS S.A.;;
H-986/21;BIOACTIV KNOP H, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-987/21;BIOACTIV KNOP I;21/03/1991;KNOP LABORATORIOS S.A.;;
H-988/21;BIOACTIV KNOP L, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-989/21;BIOACTIV KNOP M, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-990/21;BIOACTIV KNOP N, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-991/21;BIOACTIV KNOP O, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-992/21;BIOACTIV KNOP P, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-993/21;BIOACTIV KNOP Q, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-994/21;BIOACTIV KNOP R, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-995/21;BIOACTIV KNOP S, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-996/21;BIOACTIV KNOP V, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
H-997/21;BIOACTIV KNOP Z, SOLUCIÓN PARA GOTAS ORALES;21/03/1991;KNOP LABORATORIOS S.A.;;
F-24170/18;BIOGEL SHAMPOO 1% (KETOCONAZOL);9/10/2018;LABORATORIOS PRATER S.A.;KETOCONAZOL;
B-1142/21;BIOLACTUS CÁPSULAS;17/08/1993;SYNTHON CHILE LTDA.;;
B-1143/21;BIOLACTUS LIOFILIZADO PARA SUSPENSIÓN ORAL;25/08/1993;SYNTHON CHILE LTDA.;;
H-1272/20;BIOREFORT COMPRIMIDOS SUBLINGUALES;20/07/2020;KNOP LABORATORIOS S.A.;"Sulfur D10;Sulfur D4;Vincetoxicum Hirundinaria D10;Vincetoxicum Hirundinaria D30;Vincetoxicum Hirundinaria D6";
F-787/18;BIOTONUS CÁPSULAS BLANDAS;13/10/1998;LABORATORIOS LAFI LTDA.;ACIDO ASCORBICO//BETACAROTENO//COBRE SULFATO//LEVADURA SELENIO//MANGANESO SULFATO//TOCOFEROL//ZINC OXIDO;
F-17608/19;BIOTRIC JABÓN LÍQUIDO AL 0,5%;16/06/2009;BIOTEC CHILE S.A.;TRICLOSAN;
H-1259/19;BIOZEN COMPRIMIDOS SUBLINGUALES;12/11/2019;KNOP LABORATORIOS S.A.;"AVENA SATIVA D2;COFFEA ARABICA D12;PASSIFLORA INCARNATA D2;VALERIANA OFFICINALIS D4";
F-21545/19;BISBACTER COMPRIMIDOS MASTICABLES 262 mg (SUBSALICILATO DE BISMUTO);21/11/2014;LABORATORIOS RECALCINE S.A.;BISMUTO SUBSALICILATO;
F-22089/20;BISBACTER SUSPENSIÓN ORAL 262,5 mg/15 mL (SUBSALICILATO DE BISMUTO);25/08/2015;LABORATORIOS RECALCINE S.A.;BISMUTO SUBSALICILATO;
F-25485/20;BISOLVON JARABE ADULTOS 8 mg/5mL (Bromhexina clorhidrato);16/06/2020;LABORATORIO MAVER S.A.;BROMHEXINA;
F-25486/20;BISOLVON JARABE INFANTIL 4mg/5mL (Bromhexina clorhidrato);16/06/2020;LABORATORIO MAVER S.A.;BROMHEXINA;
F-3730/20;BLISTEX CON MEDICACIÓN CREMA LABIAL;12/05/1986;SYNTHON CHILE LTDA.;ALCANFOR//FENOL;
N-412/20;BOLDO EXTRACTO FLUIDO SOLUCIÓN PARA GOTAS ORALES;10/08/1988;KNOP LABORATORIOS S.A.;;
N-413/20;BORRAJA EXTRACTO FLUIDO SOLUCIÓN PARA GOTAS ORALES;10/08/1988;KNOP LABORATORIOS S.A.;;
F-22157/20;BROMFIN JARABE 8 mg/5mL (BROMHEXINA CLORHIDRATO);23/09/2015;MINTLAB Co. S.A.;BROMHEXINA;
F-3219/20;BROMHEXINA CLORHIDRATO JARABE 4 mg/5 mL;28/11/1989;CHEMOPHARMA S.A.;BROMHEXINA;
F-4326/20;BROMHEXINA CLORHIDRATO JARABE 4 mg/5 mL;28/06/2000;LABORATORIO CHILE S.A.;BROMHEXINA;
F-11436/21;BROMHEXINA CLORHIDRATO JARABE 4 mg/5 mL;8/01/1990;OPKO CHILE S.A.;BROMHEXINA;
F-22158/20;BROMHEXINA CLORHIDRATO JARABE 8 mg/5mL;24/09/2015;MINTLAB Co. S.A.;BROMHEXINA;
H-1089/22;BRONCHALIS - HEEL COMPRIMIDOS SUBLINGUALES;20/11/2002;PRODUCTOS FARMACÉUTICOS HEEL CHILE LTDA.;;
F-5667/20;BRONCOT G.F.T. FORTE JARABE 30 mg/5 mL;30/10/1989;LABORATORIOS RECALCINE S.A.;AMBROXOL;
F-5668/20;BRONCOT G.F.T. JARABE 15 mg/5 mL;31/01/1985;LABORATORIOS RECALCINE S.A.;AMBROXOL;
